Warehouse	Query	Time	Cost	Log Time	Log Time Bin	Time Bin	Cents	Log Cents	Log Cents Bin	Cents Bin
BigQuery	query/query12.sql	2.958	0.008010864258	1.564622052	2	4	0.8010864258	-0.3199701977	0	1
BigQuery	query/query13.sql	11.491	0.1003837585	3.522432448	4	16	10.03837585	3.327453964	4	16
BigQuery	query/query14.sql	9.047	0.07188796997	3.177439471	4	16	7.188796997	2.845750364	3	8
BigQuery	query/query15.sql	5.397	0.01587867737	2.432157687	3	8	1.587867737	0.6670907466	1	2
BigQuery	query/query16.sql	5.483	0.03712654114	2.454965474	3	8	3.712654114	1.892450914	2	4
BigQuery	query/query17.sql	10.809	0.08710861206	3.434161152	4	16	8.710861206	3.122815359	4	16
BigQuery	query/query18.sql	6.767	0.04781246185	2.758516389	3	8	4.781246185	2.257386692	3	8
BigQuery	query/query19.sql	4.608	0.05078315735	2.204140717	3	8	5.078315735	2.344350095	3	8
BigQuery	query/query2.sql	5.32	0.01567363739	2.411426246	3	8	1.567363739	0.6483400257	1	2
BigQuery	query/query20.sql	3.134	0.01581668854	1.64800518	2	4	1.581668854	0.6614475815	1	2
BigQuery	query/query21.sql	4.644	0.05742549896	2.215367972	3	8	5.742549896	2.521691487	3	8
BigQuery	query/query22.sql	6.775	0.05745410919	2.760220946	3	8	5.745410919	2.52241008	3	8
BigQuery	query/query23.sql	21.764	0.08987426758	4.443871828	5	32	8.987426758	3.167908108	4	16
BigQuery	query/query24.sql	9.127	0.05353450775	3.190140731	4	16	5.353450775	2.420469137	3	8
BigQuery	query/query25.sql	11.336	0.08713722229	3.502839758	4	16	8.713722229	3.123289125	4	16
BigQuery	query/query26.sql	4.173	0.04198074341	2.061084921	3	8	4.198074341	2.069727715	3	8
BigQuery	query/query27.sql	3.212	0.0807762146	1.683471893	2	4	8.07762146	3.013930539	4	16
BigQuery	query/query28.sql	3.079	0.04002571106	1.622461867	2	4	4.002571106	2.000927033	3	8
BigQuery	query/query29.sql	13.306	0.08711338043	3.734005034	4	16	8.711338043	3.122894331	4	16
BigQuery	query/query3.sql	2.529	0.03053665161	1.338567037	2	4	3.053665161	1.610541877	2	4
BigQuery	query/query30.sql	366.784	0.002250671387	8.518786896	9	512	0.2250671387	-2.151572666	-2	0.25
BigQuery	query/query31.sql	4.961	0.03798961639	2.310630957	3	8	3.798961639	1.925605144	2	4
BigQuery	query/query32.sql	2.865	0.0156879425	1.518535139	2	4	1.56879425	0.6496561533	1	2
BigQuery	query/query33.sql	2.873	0.0719499588	1.522557993	2	4	7.19499588	2.846993861	3	8
BigQuery	query/query34.sql	2.665	0.05080223083	1.414135533	2	4	5.080223083	2.34489185	3	8
BigQuery	query/query35.sql	16.493	0.03628730774	4.043781937	5	32	3.628730774	1.859465023	2	4
BigQuery	query/query36.sql	4.035	0.05053043365	2.012568674	3	8	5.053043365	2.337152561	3	8
BigQuery	query/query37.sql	3.061	0.04823684692	1.614003045	2	4	4.823684692	2.270135606	3	8
BigQuery	query/query38.sql	13.453	0.03590106964	3.749856023	4	16	3.590106964	1.844026829	2	4
BigQuery	query/query39.sql	9.358	0.0574016571	3.226200229	4	16	5.74016571	2.521092386	3	8
BigQuery	query/query4.sql	43.454	0.1074361801	5.44141708	6	64	10.74361801	3.425408011	4	16
BigQuery	query/query40.sql	5.655	0.02771854401	2.499527024	3	8	2.771854401	1.470851478	2	4
BigQuery	query/query41.sql	1.722	0.00007152557373	0.7840851427	1	2	0.007152557373	-7.12732512	-7	0.0078125
BigQuery	query/query42.sql	2.424	0.03052711487	1.277389699	2	4	3.052711487	1.610091246	2	4
BigQuery	query/query43.sql	2.665	0.03002643585	1.414135533	2	4	3.002643585	1.586233237	2	4
BigQuery	query/query44.sql	25.943	0.04052639008	4.697273415	5	32	4.052639008	2.018861672	3	8
BigQuery	query/query45.sql	7.079	0.01074314117	2.823545575	3	8	1.074314117	0.1034158829	1	2
BigQuery	query/query46.sql	5.366	0.08090019226	2.423847055	3	8	8.090019226	3.016143131	4	16
